INPUT:right_0	INPUT:right_1	INPUT:right_2	INPUT:right_3	INPUT:left_0	INPUT:left_1	INPUT:left_2	INPUT:left_3	INPUT:prompt	GOLDEN:result
https://sdcomparisons.blob.core.windows.net/prompts-comparison/675c3ffc-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67681322-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6774a678-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/677dd70c-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67897a08-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67947d54-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67a75cd0-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67b444f4-d2cf-11ed-914c-000d3a8f56ff.png	a beautiful mysterious woman warrior wearing a dragon armour costume, riding a horse	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6800faec-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/680fcf72-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/681e584e-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6829b252-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67c1f392-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67ce840e-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67e6214a-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/67f8109e-d2cf-11ed-914c-000d3a8f56ff.png	a mandala elephant	left
https://sdcomparisons.blob.core.windows.net/prompts-comparison/686ce4c8-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/687274f6-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/687a8b0a-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/688163da-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/683444e2-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68413184-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/684cb75c-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/685afe5c-d2cf-11ed-914c-000d3a8f56ff.png	a christmas tree	left
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6888f758-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68977288-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68aca5fe-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68be00f6-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68caa9c8-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68d80faa-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68e483f2-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/68ef4eea-d2cf-11ed-914c-000d3a8f56ff.png	a chainsaw	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/68fd2682-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/690a6478-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69155ebe-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6927a89e-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69352ac8-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69411126-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/694e44ea-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/695a7062-d2cf-11ed-914c-000d3a8f56ff.png	a cat wearing pants	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6966e77a-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69748722-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69812d4c-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/699053da-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69a95ccc-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69bc0412-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69c40e32-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69cd2d1e-d2cf-11ed-914c-000d3a8f56ff.png	a magical forest with a waterfall	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/69d913a4-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69e3dc62-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/69f1faea-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a05f978-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a122de2-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a185f64-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a1e3c2c-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a238bbe-d2cf-11ed-914c-000d3a8f56ff.png	a cloud dragon in japanese writing style	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a297e7a-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a389c98-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a42f436-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a4e9e94-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a5d08a8-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a6c434a-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a7749ac-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a7ec218-d2cf-11ed-914c-000d3a8f56ff.png	a drawing of Chinese wishing happy winter solstice to friends	right
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6ac765e0-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6ace9b12-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6ad72a3e-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6adc54a0-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a89b0ce-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6a96ef6e-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6aa928d2-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6ab6df36-d2cf-11ed-914c-000d3a8f56ff.png	a felt model of a tiger on a pedestal	left
https://sdcomparisons.blob.core.windows.net/prompts-comparison/6ae76fa2-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6af587b8-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b071bfe-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b13aeaa-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b1d8ca4-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b281e62-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b35fbf4-d2cf-11ed-914c-000d3a8f56ff.png	https://sdcomparisons.blob.core.windows.net/prompts-comparison/6b436154-d2cf-11ed-914c-000d3a8f56ff.png	a portrait of adult Bran Stark from Game of Thrones	right
